test,base,strengthened,a100,h100,gh200
isa2_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
isa2_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_12_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELEASE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_2_FENCE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_2_FENCE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELEASE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_2_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_1_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_2_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELEASE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_2_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_REL,INSTANCE,INSTANCE,not seen,seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_1_02_SCOPE_BLOCK_NO_FENCE_RELEASE,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_ACQ,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_2_FENCE_REL,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_0_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_2_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_1_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_0_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_2_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,UNSAT,UNSAT,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_ACQ,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE_REL,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
isa2_TB_1_02_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
isa2_TB_1_02_SCOPE_DEVICE_NO_FENCE_RELEASE,INSTANCE,INSTANCE,not seen,not seen,not seen
paper_example1_TB_0_1_2_3_SCOPE_DEVICE_NO_FENCE_DISALLOWED,INSTANCE,UNSAT,not seen,not seen,not seen
paper_example1_TB_0_1_2_3_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
paper_example2_TB_0_1_2_3_SCOPE_DEVICE_NO_FENCE_DISALLOWED,INSTANCE,UNSAT,not seen,not seen,not seen
paper_example2_TB_0_1_2_3_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_NO_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_BLOCK_NO_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_NO_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_012_SCOPE_DEVICE_NO_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_LOAD_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_BLOCK_NO_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,seen,seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_01_2_SCOPE_DEVICE_NO_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_BLOCK_NO_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_LOAD_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_12_SCOPE_DEVICE_NO_FENCE_STORE_SC,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_2_FENCE,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_2_FENCE,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_LOAD_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_LOAD_SC,INSTANCE,INSTANCE,seen,seen,not seen
rwc_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE_STORE_SC,INSTANCE,INSTANCE,seen,seen,seen
